Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,24880342,27938387
US-Mexico Border,12/01/2019 12:00:00 AM,Personal Vehicles,12758474,13045415
US-Mexico Border,12/01/2019 12:00:00 AM,Pedestrians,9062244,7417108
US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,7746560,10985997
US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,3984952,5265583
US-Mexico Border,12/01/2019 12:00:00 AM,Trucks,954222,806292
US-Canada Border,12/01/2019 12:00:00 AM,Trucks,835466,1018622
US-Mexico Border,12/01/2019 12:00:00 AM,Truck Containers Full,707768,515061
US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Full,656638,763058
US-Mexico Border,12/01/2019 12:00:00 AM,Bus Passengers,390476,484060
US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Full,333664,221191
US-Mexico Border,12/01/2019 12:00:00 AM,Truck Containers Empty,259532,282715
US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,205606,178627
US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,149552,527712
US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Empty,121750,89624
US-Mexico Border,12/01/2019 12:00:00 AM,Rail Containers Empty,99582,64145
US-Mexico Border,12/01/2019 12:00:00 AM,Rail Containers Full,75012,56916
US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,44754,93549
US-Mexico Border,12/01/2019 12:00:00 AM,Buses,29294,38671
US-Canada Border,12/01/2019 12:00:00 AM,Train Passengers,27436,42822
US-Canada Border,12/01/2019 12:00:00 AM,Buses,6344,21985
US-Canada Border,12/01/2019 12:00:00 AM,Trains,3548,4978
US-Mexico Border,12/01/2019 12:00:00 AM,Trains,1826,1468
US-Mexico Border,12/01/2019 12:00:00 AM,Train Passengers,1414,2050
US-Mexico Border,11/01/2019 12:00:00 AM,Personal Vehicle Passengers,22660060,27956843
US-Mexico Border,11/01/2019 12:00:00 AM,Personal Vehicles,12039868,13048931
US-Mexico Border,11/01/2019 12:00:00 AM,Pedestrians,8358510,7413817
US-Canada Border,11/01/2019 12:00:00 AM,Personal Vehicle Passengers,7100494,10999582
US-Canada Border,11/01/2019 12:00:00 AM,Personal Vehicles,3858704,5270502
US-Mexico Border,11/01/2019 12:00:00 AM,Trucks,1036168,805488
US-Canada Border,11/01/2019 12:00:00 AM,Trucks,910768,1018999
US-Mexico Border,11/01/2019 12:00:00 AM,Truck Containers Full,772142,514162
US-Canada Border,11/01/2019 12:00:00 AM,Truck Containers Full,712938,763233
US-Canada Border,11/01/2019 12:00:00 AM,Rail Containers Full,320794,220843
US-Mexico Border,11/01/2019 12:00:00 AM,Bus Passengers,288038,484745
US-Mexico Border,11/01/2019 12:00:00 AM,Truck Containers Empty,277714,282732
US-Canada Border,11/01/2019 12:00:00 AM,Truck Containers Empty,225336,178463
US-Canada Border,11/01/2019 12:00:00 AM,Bus Passengers,193160,528882
US-Canada Border,11/01/2019 12:00:00 AM,Rail Containers Empty,121908,89511
